,Total Epochs,Loss,Time (s),CPU Memory (MB),GPU Memory (MB),CPU Usage (%),GPU Power (W),Power Work (Wh)
1,100.0,1.48652,48.206,4598.951,2111.75,16.28,29.256,0.39192415833333333
2,100.0,1.15931,45.596,4601.9349999999995,2111.75,17.869999999999997,31.413999999999998,0.39794928333333335
3,100.0,1.0577,45.812,4602.198,2111.75,17.81,30.331,0.38607040555555555
4,100.0,0.9919699999999999,45.594,4602.543,2111.75,17.86,29.347,0.37186054166666666
5,100.0,0.9424300000000001,45.763999999999996,4602.118,2111.75,17.830000000000002,29.956,0.3809177611111111
6,100.0,0.90036,45.675,4602.324,2111.75,17.85,29.889,0.37925402222222226
7,100.0,0.8638999999999999,45.575,4602.487,2111.75,17.85,29.779000000000003,0.3771222888888889
8,100.0,0.83083,45.612,4602.57,2111.75,17.84,29.990999999999996,0.38003465
9,100.0,0.79962,45.631,4602.191000000001,2111.75,17.85,30.647000000000002,0.3887111111111111
10,100.0,0.7706999999999999,45.68,4602.398999999999,2111.75,17.82,29.468,0.3739880222222222
11,100.0,0.74464,45.695,4602.637000000001,2111.75,17.83,29.665,0.3765950694444445
12,100.0,0.72173,45.884,4602.523999999999,2111.75,17.78,31.796,0.4051914833333333
13,100.0,0.7019599999999999,45.761,4602.3550000000005,2111.75,17.79,29.041000000000004,0.36914949166666666
14,100.0,0.6849700000000001,45.613,4602.365,2111.75,17.86,30.597,0.38765378055555555
15,100.0,0.67012,45.778,4602.647999999999,2111.75,17.79,30.046,0.3819750638888889
16,100.0,0.65637,45.89,4602.663,2111.75,17.759999999999998,30.21,0.38508998055555554
17,100.0,0.6444,45.698,4602.419,2111.75,17.82,29.802,0.3783046277777778
18,100.0,0.63183,45.734,4602.405000000001,2111.75,17.86,30.944,0.3929506472222222
19,100.0,0.62161,45.727,4602.68,2111.75,17.89,29.938,0.3803634388888889
20,100.0,0.6110800000000001,45.862,4602.732,2111.75,17.83,30.168,0.38422830555555554
21,100.0,0.60362,45.944,4602.482,2111.75,17.759999999999998,29.979000000000003,0.3825047777777778
22,100.0,0.5930500000000001,45.845000000000006,4602.478,2111.75,17.79,30.385,0.3868280888888889
23,100.0,0.58509,45.882,4602.5599999999995,2111.75,17.83,30.133,0.3839962722222222
24,100.0,0.57711,45.781,4602.748,2111.75,17.79,30.04,0.38210450555555553
25,100.0,0.57044,46.04,4602.598,2111.75,17.79,30.327999999999996,0.38802919999999996
26,100.0,0.56194,45.823,4602.562,2111.75,17.85,31.139999999999997,0.39652783888888893
27,100.0,0.5551,45.721999999999994,4602.487999999999,2111.75,17.8,29.326999999999998,0.3725224388888889
28,100.0,0.54881,45.746,4602.688,2111.75,17.830000000000002,29.879,0.3797240305555556
29,100.0,0.5435000000000001,45.815,4602.623,2111.75,17.83,30.449,0.3878233888888889
30,100.0,0.53708,45.756,4602.423,2111.75,17.869999999999997,29.895,0.38008870833333336
31,100.0,0.53084,45.596,4602.427000000001,2111.75,17.78,29.121,0.3689143277777778
32,100.0,0.52702,45.685,4602.688,2111.75,17.880000000000003,29.881,0.37931629722222227
33,100.0,0.52227,45.643,4602.7339999999995,2111.75,17.869999999999997,29.941000000000003,0.3796661416666667
34,100.0,0.5173,45.948,4602.55,2111.75,17.77,29.75,0.37961103333333335
35,100.0,0.51254,45.612,4602.504,2111.75,17.97,29.51,0.3738207611111111
36,100.0,0.5085200000000001,45.957,4602.6410000000005,2111.75,17.82,30.137,0.3848459694444445
37,100.0,0.50481,45.562,4602.64,2111.75,17.89,29.944,0.37912626111111114
38,100.0,0.5018499999999999,46.056,4602.535,2111.75,17.79,30.202999999999996,0.38637236666666663
39,100.0,0.49862,45.566,4602.630999999999,2111.75,17.880000000000003,30.825,0.390439125
40,100.0,0.495,45.983,4602.574,2111.75,17.78,30.011000000000003,0.383194825
41,100.0,0.49018999999999996,45.819,4602.6900000000005,2111.75,17.830000000000002,30.891,0.39314594444444445
42,100.0,0.48983,46.105000000000004,4602.561,2111.75,17.759999999999998,30.119,0.3858421138888889
43,100.0,0.48642,45.737,4602.582,2111.75,17.8,30.137,0.38302213055555556
