Starting job 2...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 3 | Pad: 1 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.5044, Time: 8.92s, CPU Mem: 4484.25 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.90%, GPU Power: 46.53 W
Epoch 2/100, Loss: 1.0553, Time: 6.22s, CPU Mem: 4487.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 61.54 W
Epoch 3/100, Loss: 0.8349, Time: 6.54s, CPU Mem: 4487.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 65.29 W
Epoch 4/100, Loss: 0.6952, Time: 6.34s, CPU Mem: 4488.14 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 62.86 W
Epoch 5/100, Loss: 0.5912, Time: 6.42s, CPU Mem: 4487.94 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 59.63 W
Epoch 6/100, Loss: 0.5050, Time: 6.43s, CPU Mem: 4487.90 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 55.97 W
Epoch 7/100, Loss: 0.4346, Time: 6.38s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 66.54 W
Epoch 8/100, Loss: 0.3683, Time: 6.34s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 40.33 W
Epoch 9/100, Loss: 0.2996, Time: 6.35s, CPU Mem: 4487.91 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 48.11 W
Epoch 10/100, Loss: 0.2449, Time: 6.71s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.30%, GPU Power: 57.26 W
Epoch 11/100, Loss: 0.1958, Time: 6.29s, CPU Mem: 4487.91 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 59.66 W
Epoch 12/100, Loss: 0.1541, Time: 6.72s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 60.07 W
Epoch 13/100, Loss: 0.1238, Time: 6.40s, CPU Mem: 4487.91 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 52.22 W
Epoch 14/100, Loss: 0.0989, Time: 6.29s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 56.17 W
Epoch 15/100, Loss: 0.0805, Time: 6.34s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 63.25 W
Epoch 16/100, Loss: 0.0733, Time: 6.23s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 76.95 W
Epoch 17/100, Loss: 0.0677, Time: 6.51s, CPU Mem: 4488.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 39.06 W
