Starting job 2...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 7 | Pad: 5| MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.4955, Time: 12.46s, CPU Mem: 4507.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 18.20%, GPU Power: 57.15 W
Epoch 2/100, Loss: 1.0414, Time: 6.08s, CPU Mem: 4508.95 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 71.23 W
Epoch 3/100, Loss: 0.8410, Time: 5.99s, CPU Mem: 4509.41 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 79.20 W
Epoch 4/100, Loss: 0.7087, Time: 5.97s, CPU Mem: 4509.41 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 47.89 W
Epoch 5/100, Loss: 0.6045, Time: 5.89s, CPU Mem: 4508.91 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 78.96 W
Epoch 6/100, Loss: 0.5275, Time: 5.78s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.70%, GPU Power: 74.78 W
Epoch 7/100, Loss: 0.4543, Time: 5.99s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 74.47 W
Epoch 8/100, Loss: 0.3915, Time: 6.15s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 42.96 W
Epoch 9/100, Loss: 0.3323, Time: 6.01s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 70.26 W
Epoch 10/100, Loss: 0.2716, Time: 5.93s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 78.00 W
Epoch 11/100, Loss: 0.2224, Time: 5.97s, CPU Mem: 4509.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 50.06 W
Epoch 12/100, Loss: 0.1794, Time: 6.10s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 73.09 W
Epoch 13/100, Loss: 0.1423, Time: 6.19s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 53.49 W
Epoch 14/100, Loss: 0.1138, Time: 5.93s, CPU Mem: 4509.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 58.54 W
Epoch 15/100, Loss: 0.0976, Time: 5.96s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 72.28 W
Epoch 16/100, Loss: 0.0851, Time: 5.83s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 77.87 W
Epoch 17/100, Loss: 0.0715, Time: 6.16s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 49.17 W
Epoch 18/100, Loss: 0.0617, Time: 6.10s, CPU Mem: 4509.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 43.95 W
Epoch 19/100, Loss: 0.0665, Time: 5.87s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.10%, GPU Power: 77.68 W
Epoch 20/100, Loss: 0.0606, Time: 6.05s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 82.22 W
Epoch 21/100, Loss: 0.0509, Time: 6.24s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 73.29 W
Epoch 22/100, Loss: 0.0559, Time: 5.70s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.30%, GPU Power: 80.12 W
Epoch 23/100, Loss: 0.0492, Time: 6.19s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 76.11 W
Epoch 24/100, Loss: 0.0397, Time: 5.99s, CPU Mem: 4509.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.30%, GPU Power: 45.74 W
Epoch 25/100, Loss: 0.0494, Time: 5.98s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 71.44 W
Epoch 26/100, Loss: 0.0401, Time: 5.90s, CPU Mem: 4509.44 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.50%, GPU Power: 75.56 W
Epoch 27/100, Loss: 0.0484, Time: 5.74s, CPU Mem: 4509.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.10%, GPU Power: 76.82 W
Epoch 28/100, Loss: 0.0367, Time: 6.11s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 77.21 W
Epoch 29/100, Loss: 0.0416, Time: 5.92s, CPU Mem: 4509.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.50%, GPU Power: 48.09 W
Epoch 30/100, Loss: 0.0414, Time: 6.09s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 66.13 W
Epoch 31/100, Loss: 0.0358, Time: 6.09s, CPU Mem: 4509.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 78.73 W
