Starting job 1...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 3 | Pad: 1 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/200, Loss: 1.4827, Time: 8.73s, CPU Mem: 4492.57 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.20%, GPU Power: 49.40 W
Epoch 2/200, Loss: 1.0417, Time: 5.94s, CPU Mem: 4495.87 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 47.05 W
Epoch 3/200, Loss: 0.8427, Time: 5.98s, CPU Mem: 4496.32 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 68.41 W
Epoch 4/200, Loss: 0.7095, Time: 6.02s, CPU Mem: 4496.32 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 68.71 W
Epoch 5/200, Loss: 0.6102, Time: 5.78s, CPU Mem: 4496.21 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.00%, GPU Power: 70.60 W
Epoch 6/200, Loss: 0.5185, Time: 5.57s, CPU Mem: 4496.71 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.40%, GPU Power: 53.36 W
Epoch 7/200, Loss: 0.4515, Time: 6.15s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 65.95 W
Epoch 8/200, Loss: 0.3835, Time: 6.02s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 47.34 W
Epoch 9/200, Loss: 0.3254, Time: 5.95s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 74.24 W
Epoch 10/200, Loss: 0.2626, Time: 6.29s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 67.35 W
Epoch 11/200, Loss: 0.2151, Time: 6.19s, CPU Mem: 4496.48 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 66.49 W
Epoch 12/200, Loss: 0.1717, Time: 6.19s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 51.37 W
Epoch 13/200, Loss: 0.1295, Time: 5.95s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 83.25 W
Epoch 14/200, Loss: 0.1101, Time: 6.25s, CPU Mem: 4496.48 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 72.39 W
Epoch 15/200, Loss: 0.0922, Time: 6.15s, CPU Mem: 4496.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 73.24 W
Epoch 16/200, Loss: 0.0798, Time: 6.03s, CPU Mem: 4496.49 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 74.69 W
Epoch 17/200, Loss: 0.0674, Time: 6.12s, CPU Mem: 4496.48 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 63.88 W
