Starting job 1...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 5 | Pad: 2 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/100, Loss: 1.4777, Time: 48.57s, CPU Mem: 4600.84 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.10%, GPU Power: 30.49 W
Epoch 2/100, Loss: 1.1575, Time: 45.26s, CPU Mem: 4603.03 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.91 W
Epoch 3/100, Loss: 1.0612, Time: 45.66s, CPU Mem: 4603.30 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 30.79 W
Epoch 4/100, Loss: 0.9945, Time: 45.17s, CPU Mem: 4603.66 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 27.53 W
Epoch 5/100, Loss: 0.9478, Time: 45.07s, CPU Mem: 4603.42 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 27.62 W
Epoch 6/100, Loss: 0.9060, Time: 45.29s, CPU Mem: 4603.43 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 31.30 W
Epoch 7/100, Loss: 0.8698, Time: 45.22s, CPU Mem: 4603.44 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 30.81 W
Epoch 8/100, Loss: 0.8369, Time: 45.35s, CPU Mem: 4603.69 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 31.79 W
Epoch 9/100, Loss: 0.8076, Time: 45.74s, CPU Mem: 4602.94 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 30.49 W
Epoch 10/100, Loss: 0.7800, Time: 45.58s, CPU Mem: 4603.33 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.42 W
Epoch 11/100, Loss: 0.7533, Time: 44.99s, CPU Mem: 4603.69 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 31.99 W
Epoch 12/100, Loss: 0.7292, Time: 45.16s, CPU Mem: 4603.69 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 32.46 W
Epoch 13/100, Loss: 0.7111, Time: 45.13s, CPU Mem: 4603.20 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.73 W
Epoch 14/100, Loss: 0.6924, Time: 44.74s, CPU Mem: 4603.34 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.79 W
Epoch 15/100, Loss: 0.6768, Time: 45.10s, CPU Mem: 4603.70 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 32.76 W
Epoch 16/100, Loss: 0.6628, Time: 46.02s, CPU Mem: 4603.71 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 30.70 W
