Starting job 7...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 7 | Pad: 5 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.5126, Time: 8.52s, CPU Mem: 4497.54 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.40%, GPU Power: 56.02 W
Epoch 2/100, Loss: 1.0695, Time: 6.08s, CPU Mem: 4500.05 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 67.61 W
Epoch 3/100, Loss: 0.8415, Time: 5.76s, CPU Mem: 4500.52 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.00%, GPU Power: 46.53 W
Epoch 4/100, Loss: 0.6950, Time: 5.74s, CPU Mem: 4500.52 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.30%, GPU Power: 69.34 W
Epoch 5/100, Loss: 0.5914, Time: 5.54s, CPU Mem: 4500.07 MB, GPU Mem: 2131.75 MB, CPU Usage: 45.00%, GPU Power: 69.61 W
Epoch 6/100, Loss: 0.5058, Time: 6.01s, CPU Mem: 4500.53 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.30%, GPU Power: 65.97 W
Epoch 7/100, Loss: 0.4253, Time: 5.99s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 74.61 W
Epoch 8/100, Loss: 0.3525, Time: 6.02s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.30%, GPU Power: 62.91 W
Epoch 9/100, Loss: 0.2833, Time: 6.05s, CPU Mem: 4500.33 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 65.20 W
Epoch 10/100, Loss: 0.2267, Time: 6.06s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 78.28 W
Epoch 11/100, Loss: 0.1774, Time: 6.14s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 70.32 W
Epoch 12/100, Loss: 0.1398, Time: 6.44s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.30%, GPU Power: 37.57 W
Epoch 13/100, Loss: 0.1082, Time: 5.94s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.60%, GPU Power: 56.49 W
Epoch 14/100, Loss: 0.0917, Time: 6.14s, CPU Mem: 4500.33 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 64.60 W
Epoch 15/100, Loss: 0.0797, Time: 5.83s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.60%, GPU Power: 55.23 W
Epoch 16/100, Loss: 0.0665, Time: 6.18s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 63.99 W
Epoch 17/100, Loss: 0.0673, Time: 6.12s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 65.66 W
Epoch 18/100, Loss: 0.0555, Time: 6.15s, CPU Mem: 4500.33 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 54.63 W
Epoch 19/100, Loss: 0.0512, Time: 6.22s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 57.79 W
Epoch 20/100, Loss: 0.0515, Time: 6.09s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 60.15 W
Epoch 21/100, Loss: 0.0498, Time: 6.06s, CPU Mem: 4500.58 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 74.92 W
