Starting job 3...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 3 | Pad: 1 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/200, Loss: 1.4968, Time: 8.64s, CPU Mem: 4482.22 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.40%, GPU Power: 45.35 W
Epoch 2/200, Loss: 1.0263, Time: 6.39s, CPU Mem: 4483.66 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 52.44 W
Epoch 3/200, Loss: 0.8167, Time: 6.19s, CPU Mem: 4484.14 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 67.91 W
Epoch 4/200, Loss: 0.6834, Time: 6.25s, CPU Mem: 4484.50 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 62.90 W
Epoch 5/200, Loss: 0.5875, Time: 6.64s, CPU Mem: 4484.53 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.80%, GPU Power: 39.86 W
Epoch 6/200, Loss: 0.5042, Time: 6.29s, CPU Mem: 4484.04 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 44.67 W
Epoch 7/200, Loss: 0.4337, Time: 6.38s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 57.24 W
Epoch 8/200, Loss: 0.3629, Time: 6.15s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 42.80 W
Epoch 9/200, Loss: 0.3007, Time: 6.25s, CPU Mem: 4484.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 71.91 W
Epoch 10/200, Loss: 0.2417, Time: 6.39s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 64.19 W
Epoch 11/200, Loss: 0.1822, Time: 6.05s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 58.72 W
Epoch 12/200, Loss: 0.1451, Time: 6.35s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 59.51 W
Epoch 13/200, Loss: 0.1138, Time: 6.46s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 42.68 W
Epoch 14/200, Loss: 0.0950, Time: 6.55s, CPU Mem: 4484.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 58.82 W
Epoch 15/200, Loss: 0.0844, Time: 6.21s, CPU Mem: 4484.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 68.97 W
Epoch 16/200, Loss: 0.0645, Time: 6.12s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 58.17 W
Epoch 17/200, Loss: 0.0602, Time: 6.11s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 73.90 W
Epoch 18/200, Loss: 0.0598, Time: 6.23s, CPU Mem: 4484.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 66.54 W
Epoch 19/200, Loss: 0.0566, Time: 6.27s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 57.83 W
Epoch 20/200, Loss: 0.0507, Time: 6.18s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 44.07 W
Epoch 21/200, Loss: 0.0567, Time: 6.31s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 73.51 W
Epoch 22/200, Loss: 0.0447, Time: 6.35s, CPU Mem: 4484.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 60.16 W
Epoch 23/200, Loss: 0.0457, Time: 5.94s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.30%, GPU Power: 45.44 W
Epoch 24/200, Loss: 0.0472, Time: 6.18s, CPU Mem: 4484.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 66.29 W
