Job Starting...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 5 | Pad: 2 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/50, Loss: 1.5508, Time: 31.98s, CPU Mem: 4467.91 MB, GPU Mem: 2277.75 MB, CPU Usage: 8.20%
Epoch 2/50, Loss: 1.1200, Time: 6.17s, CPU Mem: 4470.37 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.40%
Epoch 3/50, Loss: 0.9052, Time: 6.47s, CPU Mem: 4470.82 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.60%
Epoch 4/50, Loss: 0.7712, Time: 6.48s, CPU Mem: 4470.83 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.20%
Epoch 5/50, Loss: 0.6638, Time: 6.45s, CPU Mem: 4470.34 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.40%
Epoch 6/50, Loss: 0.5657, Time: 6.30s, CPU Mem: 4470.84 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.80%
Epoch 7/50, Loss: 0.4729, Time: 6.15s, CPU Mem: 4470.64 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.40%
Epoch 8/50, Loss: 0.3680, Time: 6.29s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.00%
Epoch 9/50, Loss: 0.2712, Time: 6.41s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.40%
Epoch 10/50, Loss: 0.1908, Time: 6.19s, CPU Mem: 4470.61 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.40%
Epoch 11/50, Loss: 0.1390, Time: 6.46s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.70%
Epoch 12/50, Loss: 0.0989, Time: 6.38s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.80%
Epoch 13/50, Loss: 0.0903, Time: 6.29s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.10%
Epoch 14/50, Loss: 0.0783, Time: 6.17s, CPU Mem: 4470.61 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.30%
Epoch 15/50, Loss: 0.0747, Time: 6.40s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.50%
Epoch 16/50, Loss: 0.0673, Time: 6.30s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 48.10%
Epoch 17/50, Loss: 0.0623, Time: 6.23s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 45.30%
Epoch 18/50, Loss: 0.0566, Time: 6.27s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.90%
Epoch 19/50, Loss: 0.0601, Time: 6.37s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.50%
Epoch 20/50, Loss: 0.0480, Time: 6.03s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.80%
Epoch 21/50, Loss: 0.0540, Time: 6.17s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.40%
Epoch 22/50, Loss: 0.0558, Time: 6.34s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.80%
Epoch 23/50, Loss: 0.0474, Time: 6.21s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.50%
Epoch 24/50, Loss: 0.0446, Time: 6.22s, CPU Mem: 4470.61 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.10%
Epoch 25/50, Loss: 0.0458, Time: 6.05s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.80%
Epoch 26/50, Loss: 0.0383, Time: 6.06s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 43.30%
Epoch 27/50, Loss: 0.0529, Time: 6.18s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.20%
Epoch 28/50, Loss: 0.0410, Time: 6.35s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.80%
Epoch 29/50, Loss: 0.0402, Time: 6.13s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.30%
Epoch 30/50, Loss: 0.0438, Time: 6.35s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.90%
Epoch 31/50, Loss: 0.0426, Time: 6.05s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.50%
Epoch 32/50, Loss: 0.0339, Time: 6.35s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.50%
Epoch 33/50, Loss: 0.0423, Time: 6.28s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.70%
Epoch 34/50, Loss: 0.0418, Time: 6.18s, CPU Mem: 4470.86 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.90%
Epoch 35/50, Loss: 0.0391, Time: 6.21s, CPU Mem: 4470.84 MB, GPU Mem: 2277.75 MB, CPU Usage: 42.30%
Epoch 36/50, Loss: 0.0346, Time: 6.39s, CPU Mem: 4470.59 MB, GPU Mem: 2277.75 MB, CPU Usage: 41.60%
