Starting job 6...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 3 | Pad: 1 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/100, Loss: 1.5275, Time: 48.36s, CPU Mem: 4613.58 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.50%, GPU Power: 32.94 W
Epoch 2/100, Loss: 1.1830, Time: 46.72s, CPU Mem: 4615.32 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.37 W
Epoch 3/100, Loss: 1.0688, Time: 46.52s, CPU Mem: 4615.58 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.77 W
Epoch 4/100, Loss: 0.9966, Time: 46.62s, CPU Mem: 4615.95 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 29.66 W
Epoch 5/100, Loss: 0.9494, Time: 46.44s, CPU Mem: 4615.46 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.66 W
Epoch 6/100, Loss: 0.9058, Time: 47.10s, CPU Mem: 4615.61 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 31.44 W
Epoch 7/100, Loss: 0.8706, Time: 45.76s, CPU Mem: 4615.73 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 32.23 W
Epoch 8/100, Loss: 0.8378, Time: 46.34s, CPU Mem: 4615.98 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 35.78 W
Epoch 9/100, Loss: 0.8084, Time: 46.46s, CPU Mem: 4615.23 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.57 W
Epoch 10/100, Loss: 0.7833, Time: 46.39s, CPU Mem: 4615.63 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.16 W
Epoch 11/100, Loss: 0.7555, Time: 46.50s, CPU Mem: 4615.73 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.67 W
Epoch 12/100, Loss: 0.7331, Time: 45.98s, CPU Mem: 4615.98 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.48 W
Epoch 13/100, Loss: 0.7130, Time: 46.38s, CPU Mem: 4615.23 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 29.86 W
