Starting job 1...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 3 | Pad: 1 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/200, Loss: 1.5099, Time: 49.28s, CPU Mem: 4609.72 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.50%, GPU Power: 28.57 W
Epoch 2/200, Loss: 1.1757, Time: 47.20s, CPU Mem: 4612.24 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.97 W
Epoch 3/200, Loss: 1.0711, Time: 47.08s, CPU Mem: 4612.88 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 31.34 W
Epoch 4/200, Loss: 1.0067, Time: 47.15s, CPU Mem: 4613.00 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 34.10 W
Epoch 5/200, Loss: 0.9553, Time: 47.20s, CPU Mem: 4612.64 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.55 W
Epoch 6/200, Loss: 0.9145, Time: 47.27s, CPU Mem: 4612.91 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 32.43 W
Epoch 7/200, Loss: 0.8764, Time: 47.67s, CPU Mem: 4613.04 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 31.35 W
Epoch 8/200, Loss: 0.8404, Time: 47.25s, CPU Mem: 4613.29 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 31.05 W
Epoch 9/200, Loss: 0.8135, Time: 47.28s, CPU Mem: 4612.54 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.97 W
Epoch 10/200, Loss: 0.7809, Time: 47.57s, CPU Mem: 4612.93 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 31.24 W
Epoch 11/200, Loss: 0.7550, Time: 47.02s, CPU Mem: 4613.31 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.16 W
Epoch 12/200, Loss: 0.7337, Time: 46.88s, CPU Mem: 4612.94 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 35.19 W
Epoch 13/200, Loss: 0.7125, Time: 46.91s, CPU Mem: 4613.29 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.07 W
Epoch 14/200, Loss: 0.6961, Time: 46.88s, CPU Mem: 4612.54 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.57 W
Epoch 15/200, Loss: 0.6804, Time: 46.60s, CPU Mem: 4612.93 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.95 W
Epoch 16/200, Loss: 0.6694, Time: 46.60s, CPU Mem: 4613.29 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.67 W
Epoch 17/200, Loss: 0.6570, Time: 47.59s, CPU Mem: 4613.29 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 30.45 W
